City,State,State2,Country,Country2,Latitude,Longitude,Name,Price Per Guest,numberOfGuests,Price,roomType,Ratings
Kodaikanal, Tamil Nadu,Tamil Nadu, India,India,10.26,77.478,"Le Mistral, Kodai - Luxury Villa",40,12,476,Entire home,4.67
Candolim, Goa,Goa, India,India,15.519,73.775,"3BD Pool Villa w/cook,5 Mins to Candolim Beach",52,8,416,Entire villa,4.94
Anjuna - Vagator, Goa,Goa, India,India,15.603,73.752,LaViola-3bhk Lovely Private Pool Villa with Genset,59,7,410,Entire home,4.73
Verla, Goa,Goa, India,India,15.585,73.793,VILLA LOU GOA 1903 Heritage House withPrivate Pool,35,12,419,Entire villa,5
Kothali, Uttarakhand,Uttarakhand, India,India,30.22123,79.366,Kothli Hills,46,10,460,Private room in earthen home,0
Candolim, Goa,Goa, India,India,15.51255,73.76818,"White Banyan - 5 bed, Private pool, Beach access",60,10,601,Entire villa,4.4
Jaipur, Rajasthan,Rajasthan, India,India,26.82116,75.70489,Luxury Villa with personal pool,70,6,421,Entire villa,4.33
Amritsar, Punjab,Punjab, India,India,31.693,74.811,Spring Gardens & Farmstay Amritsar,30,16,481,Farm stay,5
Mumbai, Maharashtra,Maharashtra, India,India,19.14991,72.89329,VILLA HOLLYWOOD WITH PRIVATE POOL & HUGE TERRACE.,30,16,481,Private room in villa,0
Puthenvelikara, Kerala,Kerala, India,India,10.18,76.236,Madilina House,41,10,409,Entire villa,4.92
Ramnagar, Uttarakhand,Uttarakhand, India,India,29.33,79.049,"Jaagar - A Family Retreat in Corbett, Ramnagar",40,12,481,Room in resort,4.67
Lonavla, Maharashtra,Maharashtra, India,India,18.76402,73.50148,6 BHK Private Pool Villa - Alpine Riverhill Villa,27,16,429,Entire villa,0
Pawna, Maharashtra,Maharashtra, India,India,18.64502,73.50265,Blue Infinitum - Pool villa with 180° view of lake,27,16,434,Entire villa,5
Lonavla, Maharashtra,Maharashtra, India,India,18.74584,73.4121,"Luxurious 5bhk bunglow ""60 ML Chalet "" Max 35 ppl",26,15,397,Entire bungalow,4.83
Parra, Goa,Goa, India,India,15.57267,73.77863,Luxury Boutique villa w/Pool in North Goa,35,12,421,Entire villa,4.83
Bangalore Urban, Karnataka,Karnataka, India,India,13.18346,77.57569,"Surabhi Villa, off Airport Road, Bangalore",48,10,481,Entire home,5
Lonavala, Maharashtra,Maharashtra, India,India,18.76598,73.38261,Whitehorse Villa,26,16,419,Entire bungalow,4.67
Gurugram, Haryana,Haryana, India,India,28.41086,77.11119,Corbett Caravan Holidays in India by RV On,120,4,481,Camper/RV,0
Bani Park, Rajasthan,Rajasthan, India,India,26.925,75.801,Wedding @ Bungalow with Garden & Pool,30,16,481,Castle,0
Agra, Uttar Pradesh,Uttar Pradesh, India,India,27.14421,78.04574,Two rooms set with rooftop garden,120,4,481,Private room in home,4.57
Mussoorie, Uttarakhand,Uttarakhand, India,India,30.45416,78.08309,Raghu Niwas - Your home in the hills,30,16,475,Room in boutique hotel,5
Dehradun, Uttarakhand,Uttarakhand, India,India,30.4101,78.06086,The Bluedoor Luxury Villa close to Mussoorie,40,12,481,Entire vacation home,0
Kasauli, Himachal Pradesh,Himachal Pradesh, India,India,30.89526,77.01681,RAIMAN HOUSE | 2+2BHK Home - by HomestayDaddy,40,12,481,Entire condo,0
Bhimtal, Uttarakhand,Uttarakhand, India,India,29.35864,79.53659,Luxury at the lap of nature at Anantvilas!,80,6,481,Private room in chalet,0
